РЕЕСТР;РЕЕСТР Период внесения изменений;Внесены изменения в Положение об ИОГВ;Основание/ Дата внесения изменений в Положение (дата согласования КРИОГВ изменений в положение);Основание для исключения (Реквизиты НПА, регламентирующие исключение полномочия);№ пункта в соответствии с ПП Правительства РФ от 30.05.2014 № 496;полномочие осуществляется с использованием ИС;№ пункта в положении об ИОГВ;Статус; Услугу/функцию предоставляет Администрация района/ОМСУ/ФОИВ/ВФ/ГУ;Наименование ИОГВ СПб;Наименование полномочия в соответствии с Положением об ИОГВ;Наименование услуги (функции);порядковый номер услуги/функции;Наименование процедуры в сфере жилищного строительства (распоряжение Правительства РФ);Тип;субъект предоставления услуг (физ/юр);№ пункта Плана-графика 2013;План-график 2013 (срок исполнения);План-график 2013 (требуется внесение изменений);Продление срока по Плану 2013;Основание для продления срока по Плану 2013;Исключение из Плана 2013;Основание для исключения из Плана 2013;План 2013 исполнен;№ пункта Плана-графика 2014;Срок исполнения План-графика 2014;Основание для включения услуги в План-график 2014;Основание для исключения из Плана 2014;"План 2014
исполнение";№ пункта Плана-графика 2015;Срок исполнения План-графика 2015;Основание для включения услуги в План-график 2015;Основание для исключения из Плана 2015;"План 2015
исполнение";Мониторинг в 2014 году;Проведен мониторинг в 2013 году;услуга включена в дорожную карту ИОГВ;Результаты мониторинга 2013 года;"%
удовлетворенности заявителей по услуге";Срок исполнения мероприятий по ДК;Отметка о выполнении;№ пункта Плана-графика 2012;План-график 2012 (месяц);План-график 2012 Внесение изменений в АР;Продление срока;Исключение из Плана 2012;Основание для исключения;ПГ 2012 исполнен;1593;1593 (ред. от 20.09.2012);Внесение изменений в 1593;Реквизиты соглашения;Дата начала предоставления услуги в МФЦ;Реализация в МАИС МФЦ;8-рп;Внесение изменений в 8-рп;Внесение изменений в 11-рп;"Реализация в АИС ""ЭСРН"" (Систематика)";Реализация по ГК в 2014 году;Реализация по ГК в 2014 году ;11-рп от 13.03.2014;этап предоставления на Портале;Внесение изменений в 8-рп в редакции 11-рп от 13.03.2014;Возможность выдачи результата в электронном виде;ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 20 услуг;ГК 2014 - Развитие МАИС (подлежат модернизации по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 27 услуг;"ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - статическая реализация услуг) - 3 услуги (в ГК - 4, нет ""8 тонн"")";ГК 2014 - Развитие МАИС (перечень платежей, которые разрабатываются на Портале и в мобильных приложениях на безе Android и iOS);ГК 2014 - Развитие МАИС (электронные ГУ, разрабатываются в ЭДО МФЦ) - 15 услуг;ГК 2014 - Развитие МАИС (электронные услуги КСП, модернизируются по результатам интеграции МАИС ЭГУ с АИС ЭСРН) - 96 услуг;ГК 2014 - Развитие МАИС (реализуются в ЭДО МФЦ, предоставляются юридическим лицам) - 55 услуг;ГК 2014 - Развитие МАИС ЭГУ (административные процедуры 2-й очереди, разрабатываемые в 2014 году в ЭДО МФЦ) - 20 услуг; УЭК                 ;Реализация на портале (Ростелеком);Актуализация по ЕПГУ;1993-р;729-р;реализация в электронном виде;51-рп;Внесение изменений в 51-рп;"ТКМВ
(реквизиты  протокола РГ МИВ)";ТКМВ внесение изменений (реквизиты  протокола РГ МИВ);КАР;Административный регламент утвержден распоряжением ИОГВ;Реквизиты нормативных правовых актов изменений в АР;Возмездная / Безвозмездная государственная услуга;Сумма госпошлины;Количество взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;Наименование взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;"Наименование услуги необходимой и обязательной, 
содержащейся в
постановлении
Правительства Санкт-Петербурга
от 03.02.2012 N 93";Наименование учреждения (организации), предоставляющей услугу необходимую и обязательную;Стоимость услуги н.о.;Наименование услуги (документа) необходимой для предоставления государственной услуги;Наименование учреждения (организации), предоставляющей необходимую услугу;Стоимость услуги необходимой для получения гос. услуги;Результат предоставления услуги/исполнения функции;Время ожидания в очереди;Требуется внесение изменений в АР;Дата поступления  на согласование;Результат согласования ;Дата согласования ;ФИО эксперта;Дата повторного поступления  на согласование;Результат повторного согласования ;Дата повторного согласования ;ФИО эксперта;Предварительная экспертиза ЮК (реквизиты письма);Результат предварительной экспертизы в ЮК;Проект направлен в ЮК для вынесения на КАР (реквизиты письма);Отсутствует НПА на федеральном уровне;Требуется внесение изменений в НПА на федеральном уровне;Отсутствует НПА СПб;Требуется внесение изменений в НПА СПб;№ п/п в соответствии с Перечнями №1 и №2 МЭР;Наименование в соответствии с Перечнями №1 и №2 МЭР;Комментарии Юридического Комитета;Наименование функции (услуги)  в соответствии с федеральным законодательством;Реквизиты НПА федерального уровня, которым функция (полномочие) закреплено (отнесено к ведению) за субъектом РФ;Наименование функции в соответствии с законодательством Санкт-Петербурга ;Реквизиты НПА регионального уровня, которым функция (полномочие) закреплено (порядок предоставления услуги);Реквизиты НПА, закрепляющего перечень документов представления услуги;Реквизиты НПА, которыми полномочие передано для осуществления ИОГВ субъекта РФ с федерального уровня;133-ФЗ;"Количество обращений за предоставление услуги
 (за 2011 год)";"Количество обращений за предоставлением услуги
(за 2013 год)";Количество обращений за предоставление услуги;Количество обращений за предоставление услуги;"Количество обращений за предоставление услуги
 (на 1.11.2012)";Формирование отчета по полномочиям;Примечание;Идентификатор услуги
р;;;;;;;3.7. ;общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Принимать участие в формировании проектов бюджета Санкт-Петербурга в части, касающейся расходов, связанных с реализацией полномочий Комитета;Принимать участие в формировании проектов бюджета Санкт-Петербурга в части, касающейся расходов, связанных с реализацией полномочий Комитета;1487;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.8. ;общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Осуществлять полномочия главного распорядителя средств бюджета Санкт-Петербурга, а также в установленном порядке полномочия государственного заказчика Санкт-Петербурга на выполнение работ, оказание услуг, поставку продукции для государственных нужд Санкт-Петербурга, в том числе по обследованию, проектированию, строительству, реконструкции комплекса по переработке и размещению отходов и экспериментального предприятия по переработке промышленных отходов в пос. Красный Бор.;Осуществлять полномочия главного распорядителя средств бюджета Санкт-Петербурга, а также в установленном порядке полномочия государственного заказчика Санкт-Петербурга на выполнение работ, оказание услуг, поставку продукции для государственных нужд Санкт-Петербурга, в том числе по обследованию, проектированию, строительству, реконструкции комплекса по переработке и размещению отходов и экспериментального предприятия по переработке промышленных отходов в пос. Красный Бор.;1488;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.9. ;Исключаемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;"Разрабатывать и реализовывать региональные программы в области охраны окружающей среды, в том числе разрабатывать и реализовывать в установленном порядке программы по использованию и охране водных объектов или их частей, расположенных на территории Санкт-Петербурга; обеспечивать в пределах компетенции Комитета выполнение федеральных программ, в реализации которых участвует Санкт-Петербург.                  Участвовать в разработке и реализации государственных программ геологического изучения недр, развития и освоения минерально-сырьевой базы Российской Федерации.                                  Разрабатывать и реализовывать территориальные программы геологического изучения, развития и использования минерально-сырьевой базы. Разрабатывать и реализовывать региональные программы по охране и воспроизводству объектов животного мира и среды их обитания.";"Разрабатывать и реализовывать региональные программы в области охраны окружающей среды, в том числе разрабатывать и реализовывать в установленном порядке программы по использованию и охране водных объектов или их частей, расположенных на территории Санкт-Петербурга; обеспечивать в пределах компетенции Комитета выполнение федеральных программ, в реализации которых участвует Санкт-Петербург.                  Участвовать в разработке и реализации государственных программ геологического изучения недр, развития и освоения минерально-сырьевой базы Российской Федерации.                                  Разрабатывать и реализовывать территориальные программы геологического изучения, развития и использования минерально-сырьевой базы. Разрабатывать и реализовывать региональные программы по охране и воспроизводству объектов животного мира и среды их обитания.";1489;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.11.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Разрабатывать и согласовывать проекты уставов и изменений в уставы подведомственных Комитету государственных унитарных предприятий и государственных учреждений, а также осуществлять полномочия собственника имущества данных организаций, предоставленные Комитету в соответствии с его компетенцией.;Разрабатывать и согласовывать проекты уставов и изменений в уставы подведомственных Комитету государственных унитарных предприятий и государственных учреждений, а также осуществлять полномочия собственника имущества данных организаций, предоставленные Комитету в соответствии с его компетенцией.;1490;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Устав унитарного предприятия утверждается уполномоченными государственными органами Российской Федерации;"п.2 ст.9 ФЗ от 14.11.2002 N 161-ФЗ ""О государственных и муниципальных унитарных предприятиях""
";;;;;;;;;;;;;
р;;;;;;;3.15.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Осуществлять в установленном порядке сотрудничество с органами государственной власти и неправительственными организациями зарубежных стран, а также с международными организациями по вопросам, относящимся к компетенции Комитета. Участвовать в выполнении международных договоров Российской Федерации в области охраны и использования объектов животного мира в порядке, согласованном с федеральными органами исполнительной власти, выполняющими обязательства Российской Федерации по указанным договорам.;Осуществлять в установленном порядке сотрудничество с органами государственной власти и неправительственными организациями зарубежных стран, а также с международными организациями по вопросам, относящимся к компетенции Комитета. Участвовать в выполнении международных договоров Российской Федерации в области охраны и использования объектов животного мира в порядке, согласованном с федеральными органами исполнительной власти, выполняющими обязательства Российской Федерации по указанным договорам.;1491;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.10.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Представлять Правительству Санкт-Петербурга в установленном порядке предложения о создании, реорганизации и ликвидации подведомственных Комитету государственных унитарных предприятий и государственных учреждений.;Представлять Правительству Санкт-Петербурга в установленном порядке предложения о создании, реорганизации и ликвидации подведомственных Комитету государственных унитарных предприятий и государственных учреждений.;1492;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.12. ;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Осуществлять в установленном порядке координацию деятельности подведомственных Комитету государственных унитарных предприятий и государственных учреждений;Осуществлять в установленном порядке координацию деятельности подведомственных Комитету государственных унитарных предприятий и государственных учреждений;1493;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.13.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Выступать в установленном порядке от имени Правительства Санкт-Петербурга, Губернатора Санкт-Петербурга по вопросам, находящимся в ведении Комитета, в судебных органах, иных государственных органах, органах местного самоуправления в Санкт-Петербурге;Выступать в установленном порядке от имени Правительства Санкт-Петербурга, Губернатора Санкт-Петербурга по вопросам, находящимся в ведении Комитета, в судебных органах, иных государственных органах, органах местного самоуправления в Санкт-Петербурге;1494;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.14. ;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Представлять по поручению Правительства Санкт-Петербурга, Губернатора Санкт-Петербурга их интересы в органах государственной власти и неправительственных организациях зарубежных стран, международных организациях по вопросам, находящимся в ведении Комитета;Представлять по поручению Правительства Санкт-Петербурга, Губернатора Санкт-Петербурга их интересы в органах государственной власти и неправительственных организациях зарубежных стран, международных организациях по вопросам, находящимся в ведении Комитета;1495;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.16.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ; Издавать правовые акты в пределах своей компетенции; Издавать правовые акты в пределах своей компетенции;1496;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.17. ;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Создавать рабочие группы и комиссии, научно-консультативные и экспертные советы с привлечением представителей иных исполнительных органов государственной власти Санкт-Петербурга, а также предприятий, учреждений и организаций;Создавать рабочие группы и комиссии, научно-консультативные и экспертные советы с привлечением представителей иных исполнительных органов государственной власти Санкт-Петербурга, а также предприятий, учреждений и организаций;1497;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.18. ;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Принимать участие в работе комиссий и рабочих групп в соответствии с компетенцией Комитета;Принимать участие в работе комиссий и рабочих групп в соответствии с компетенцией Комитета;1498;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.19. ;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Привлекать на договорной основе научные организации, ученых, специалистов, в том числе зарубежных, для решения задач, возложенных на Комитет;Привлекать на договорной основе научные организации, ученых, специалистов, в том числе зарубежных, для решения задач, возложенных на Комитет;1499;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.21.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Проводить конференции, совещания, семинары, осуществлять организацию выставок и принимать участие в указанных мероприятиях для реализации задач, возложенных на Комитет;Проводить конференции, совещания, семинары, осуществлять организацию выставок и принимать участие в указанных мероприятиях для реализации задач, возложенных на Комитет;1500;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.22.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ; Разрабатывать методические материалы и рекомендации в соответствии с компетенцией Комитета; Разрабатывать методические материалы и рекомендации в соответствии с компетенцией Комитета;1501;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.23.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ; Рассматривать обращения граждан и юридических лиц, принимать необходимые меры по результатам их рассмотрения, а также осуществлять прием граждан и представителей организаций по вопросам, отнесенным к компетенции Комитета; Рассмотрение обращений граждан и юридических лиц, , а также осуществление приема граждан и представителей организаций по вопросам, отнесенным к компетенции Комитета  по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;1502;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.03.2013;согласовано;29.03.2013;Ковалев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.23-1.;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ; Осуществлять в пределах компетенции Комитета деятельность по реализации антикоррупционной политики в Санкт-Петербурге ; Осуществлять в пределах компетенции Комитета деятельность по реализации антикоррупционной политики в Санкт-Петербурге ;1503;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.23-2. ;Общая;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Обеспечивать реализацию мер по противодействию коррупции в Комитете и подведомственных Комитету государственных унитарных предприятиях и государственных учреждениях;Обеспечивать реализацию мер по противодействию коррупции в Комитете и подведомственных Комитету государственных унитарных предприятиях и государственных учреждениях;1504;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.09.2012;согласовано;24.09.2012;Кононов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;янв.13;изменена формулировка п.3.26-1. положения;КАР №48 о внесении изменений в ПП СПБ от 06.04.2004 №530;;;;3.26-1.;Исполняемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Выдавать разрешения на выбросы вредных (загрязняющих) веществ (за исключением радиоактивных веществ) в атмосферный воздух стационарных источников, находящихся на объектах хозяйственной и иной деятельности, не подлежащих федеральному государственному экологическому надзору;"Выдача разрешений на выбросы вредных (загрязняющих) веществ в атмосферный воздух стационарных источников, находящихся на объектах
хозяйственной и иной деятельности, не подлежащих федеральному государственному экологическому контролю 
";1505;;услуга;юр;;;;;;;;;;;;;;;;;;;;да;Дорожная карта Комитета по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;"1. За предоставлением ГУ заявители не обращались;
2. Отсутствуют обращения через МФЦ;
3. ГУ не включена в Перечень № 1593, но заключено соглашение о предоставлении ГУ через МФЦ;
4. В 51-рп межведомственное взаимодействие не предусмотрено, но осуществляется;
5. ГУ включена в 51-рп, но не предусмотрена АР.
";;;;;;;;;;;;5.34.;5.18.;07-01/1-31/13 от 01.04.2013;09.09.2013;реализовано Шереметьев;;Предложено в КИС;;;"п. 197 (ЭДО)
приложения 18 ГК 49/13";;;;;;;;;;;;15 приложения 12;;;;;;;;;223;;;31.01.2012 КАР №42;08.02.2012 № 15-р         ;от 28.05.2013 N 74-р;возмездное;2000 р;2;"1. подача документов
2. выдача разрешения на выбросы или мотивированный отказ в его выдаче";нет;нет;нет;Установление Росприроднадзором нормативов ПДВ и ВСВ, заканчивающееся выдачей копии приказа об установлении нормативов выбросов с приложениями к нему, подписанного руководителем Росприроднадзора или лицом, его замещающим (является н/о); Росприроднадзор;нет;"Конечным результатом исполнения государственной услуги является выдача разрешений на выбросы вредных (загрязняющих) веществ в атмосферный воздух либо предоставление мотивированного отказа в выдаче указанных разрешений.
";15 минут распоряжение от 07.11.2013 №152-р;;11.11.2011;не согласовано;18.11.2011;Ковалев;;;;;;;;;;;;103.1.;Выдача разрешений на выброс вредных (загрязняющих) веществ в атмосферный воздух стационарными источниками объектов хозяйственной и иной деятельности, не подлежащих федеральному государственному экологическому контролю;;;;;;;;"Требуется внесение изменений в адм. Регламент ст. 13 133 ФЗ  (платная услуга)
не выполнено";;0;;;;;;
р;;;;;;;3.26. ;Исключаемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Устанавливать нормативы качества окружающей среды, содержащие требования и нормы не ниже соответствующих требований и норм, установленных на федеральном уровне;Устанавливать нормативы качества окружающей среды, содержащие требования и нормы не ниже соответствующих требований и норм, установленных на федеральном уровне;1506;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КАР № 43 от 29.03.2012;"от 10.04.2012 N 72-р
";;;;;;;;;;;;;;;11.11.2011;не согласовано;17.11.2011;Ковалев;;;;;;;;;;;;;;;;;;;;;;;;;;;;декабрь;
рфкн;янв.13;п.3.27 изложен в новой редакции;КАР №48 ПП СПБ от 06.04.2004 №530;;;;3.27. ;Исполняемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Осуществлять региональный государственный экологический надзор при осуществлении  хозяйственной и иной деятельности, за исключением деятельности с использованием объектов, подлежащих федеральному государственному экологическому надзору;Осуществлять региональный государственный экологический надзор при осуществлении  хозяйственной и иной деятельности, за исключением деятельности с использованием объектов, подлежащих федеральному государственному экологическому надзору;1507;;функция контроля и надзора;;;;;;;;;;22;"Август
продлить срок до 15.12.2014
";Требуется внесение изменений в административный регламент;;;;;;;;;;;;;;;фкн 34;ноябрь;Требуется внесение изменений;"01.12.2013 
письмо КППООСЭБ вх. от 04.07.2013 № 08-07-003632/13-0-0
июнь 2013 Письмо КППООСЭБ от 30.11.2012 № 02-004191/12-0-0 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 16.02.2010 № 22;от 05.03.2010 № 41-р;;;;;;;;;;;;;;;29.04.2013;согласовано;06.04.2013;Ячменева;;;;;;;;;;;;102.1.;Осуществление государственного контроля в области охраны окружающей среды (государственного экологического контроля) на объектах, подлежащих региональному государственному экологическому контролю;;Осуществление государственного контроля в области охраны окружающей среды (государственного экологического контроля) на объектах хозяйственной и иной деятельности независимо от форм собственности, находящихся на территории субъекта Российской Федерации, з;"ст.6 Федерального закона от 10.01.2002 N 7-ФЗ
(ред. от 27.12.2009)
""Об охране окружающей среды""
";Осуществление государственного контроля в области охраны окружающей среды (далее - государственный экологический контроль) на объектах хозяйственной и иной деятельности независимо от форм собственности, находящихся на территории Санкт-Петербурга, за исклю;"ст.2 закона Санкт-Петербурга от 15.12.2008 N 764-141
""О РАЗГРАНИЧЕНИИ ПОЛНОМОЧИЙ ЗАКОНОДАТЕЛЬНОГО СОБРАНИЯ САНКТ-ПЕТЕРБУРГА И ПРАВИТЕЛЬСТВА САНКТ-ПЕТЕРБУРГА В ОБЛАСТИ ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ НА ТЕРРИТОРИИ САНКТ-ПЕТЕРБУРГА""";;;;;;;;;;;
р;апрель;ПП СПБ о внесении изменений в ПП СПБ от 06.04.2004 №530(дополнено словами: а также организовывать контроль за радиационной обстановкой на территории Санкт-Петербурга в пределах своих полномочий);КАР №49;;;;3.28.;Исполняемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Участвовать в порядке, установленном нормативными правовыми актами Российской Федерации, в осуществлении государственного экологического мониторинга  (государственный мониторинг окружающей среды), формировать и обеспечивать функционирование территориальных систем наблюдения за состоянием окружающей среды в Санкт-Петербурге, а также организовывать контроль за радиационной обстановкой на территории Санкт-Петербурга в пределах своих полномочий;Участвовать в порядке, установленном нормативными правовыми актами Российской Федерации, в осуществлении государственного экологического мониторинга  (государственный мониторинг окружающей среды), формировать и обеспечивать функционирование территориальных систем наблюдения за состоянием окружающей среды в Санкт-Петербурге, а также организовывать контроль за радиационной обстановкой на территории Санкт-Петербурга в пределах своих полномочий;1508;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 16.02.2010 № 22;от 26.02.2010 № 23-р;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Участие в порядке, установленном нормативными правовыми актами Российской Федерации, в осуществлении государственного мониторинга окружающей среды (государственного экологического мониторинга) с правом формирования и обеспечения функционирования территории;"ст.6 Федерального закона от 10.01.2002 N 7-ФЗ
(ред. от 27.12.2009)
""Об охране окружающей среды""
";;;;;;;;;;;;;
р;;;;;;;3.28-1. ;Исполняемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Разрабатывать и утверждать комплексную систему наблюдений за состоянием окружающей среды.;Разрабатывать и утверждать комплексную систему наблюдений за состоянием окружающей среды.;1509;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 16.02.2010 № 22;от 26.02.2010 № 26-р;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Установление порядка осуществления государственного мониторинга окружающей среды (государственного экологического мониторинга), формирование государственной системы наблюдений за состоянием окружающей среды и обеспечение функционирования такой системы;";"ст.5 Федерального закона от 10.01.2002 N 7-ФЗ
(ред. от 27.12.2009)
""Об охране окружающей среды""
";"Разработка и утверждение комплексной системы наблюдений за состоянием окружающей среды;";"ст.4  закона Санкт-Петербурга от 17.04.2006 N 155-21""ОБ ЭКОЛОГИЧЕСКОМ МОНИТОРИНГЕ НА ТЕРРИТОРИИ САНКТ-ПЕТЕРБУРГА""";;;;;;;;;;;
р;;;;;;;3.28-2. ;Исполняемое;;Комитет по природопользованию, охране окружающей среды и обеспечению экологической безопасности ;Осуществлять оценку и прогноз изменений состояния окружающей среды под воздействием природных и антропогенных факторов.;Осуществлять оценку и прогноз изменений состояния окружающей среды под воздействием природных и антропогенных факторов.;1510;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 16.02.2010 № 22;от 26.02.2010 № 27-р;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Информация о состоянии окружающей среды, ее изменении, полученная при осуществлении государственного мониторинга окружающей среды (государственного экологического мониторинга), используется органами государственной власти Российской Федерации, органами го;"п.3 ст.63 Федерального закона от 10.01.2002 N 7-ФЗ
(ред. от 27.12.2009)
""Об охране окружающей среды""
";"Оценка и прогноз изменений состояния окружающей среды под воздействием природных и антропогенных факторов;";"ст.4 закона Санкт-Петербурга от 17.04.2006 N 155-21""ОБ ЭКОЛОГИЧЕСКОМ МОНИТОРИНГЕ НА ТЕРРИТОРИИ САНКТ-ПЕТЕРБУРГА""";;;;;;;;;;;
